id,title,rating,date,body,sentiment,category,satisfied
1,Service clients d'Amazon à fuir,1,2024-04-29 00:00:00+00:00,"Amazon, bien que j'en aie apporté la preuve voici 2 mois, continue de mettre en vente sur son market place un article que le vendeur est incapable de fournir. En plus, le ""faux"" artcile reçu doit être renvoyé à mes frais ! Le service clients Amazon m'a joyeusement baladé et n'a pas tenu ses promesses de remboursement. Prestation nullissime peu digne de l'autosatisfaction de ses mails. Conclusion : se méfier du service clients mensonger d'Amazon et ne pas acheter à un vendeur du market place.",Neutral,Uncategorized,0
2,Vintage déguisé et vendu en tant que neuf ! 😡😡😡😡,1,2024-01-27 00:00:00+00:00,"Jeans Levi's 501. 
Du vintage, déguisé et photo retouchée, puis vendu en tant que neuf ! 
Je crois que Amazon sont arrivés au point de non retour dans la triche et la vente limite frauduleuse ! 
😡😡😡😡😡😡😡😡😡😡😡
P-S : date de l'expérience approximative car j'ai tardé à me servir de mon achat, faisant confiance à tort à Amazon. ",Neutral,Uncategorized,0
3,A fuir avec la livraison via colis privé,1,2024-06-22 00:00:00+00:00,"Je commandais sur Amazon pour la qualité de livraison mais depuis depuis que c'est ""Colis Privé"" c'est devenu une horreur !
Ils ont un bon stock d'excuses pour justifier leur incompétences par de la malhonnêteté.
Ali express est bien plus fiable qu'Amazon et le service client bien plus réactif malgré la distance !!!
",Neutral,Uncategorized,0
4,SERIEUX : 0,1,2024-06-24 00:00:00+00:00,"PLUSIEURS COMMANDES FAITES, LIVRAISONS RECUES 2/10
JE DECONSEILLE FORTEMENT CE SITE CAR EN PLUS DE LEUR MANQUE DE PROFESSIONNALISME. IL FAUT ENCORE ALLER DEPOSER PLAINTE POUR PEUT ETRE ESPERER UN REMBOURSEMENT",Positive,Uncategorized,0
5,Si vous avez besoin de rien,1,2024-06-25 00:00:00+00:00,"Si vous avez besoin de rien, 
vous êtes à la bonne adresse ! 
""compte temporairement suspendu"" pour motif ubuesque. 
Par contre laisser poireauter des clients au tel pendant des heures, là vous êtes les champions du monde. 
Impossible de contacter ces incapables. 
Adieu AMAZON ! Avec votre SAV inexistant, Temu ou autres vont vous bouffer. ",Negative,Uncategorized,0
6,Amazon devient de plus en plus…,1,2024-06-24 00:00:00+00:00,"Amazon devient de plus en plus mauvais !
1-Impossible d'envoyer des suggestions pour améliorer le site,
par exemple:avant il y avait un moteur de recherche où l'on pouvait écrire ce que l'on voulait,
maintenant,il faut aller dans une liste de propositions...c'est nul !
2-au niveau des renseignements sur les produits:il n'y a pas les dimensions ou il y a des erreurs sur les informations...il suffit d'aller su TEMU,et vous verrez qu'il y a beaucoup plus d'informations:dimensions,message pour signaler que cette pièce détachée n'est pas compatible avec votre voiture ect ...le seul problème,un délais de 8 ou 10 jours pour la livraison,mais des prix bien inférieurs à Amazon ",Neutral,Uncategorized,0
7,Scandaleux,1,2024-06-23 00:00:00+00:00,"Scandaleux, je reçois un SMS du livreur qui m'informe que mon colis a été livré dans ma boîte aux lettres. Je vais voir, rien dans la boite aux lettres !
Le lendemain, heureusement un voisin honnête sonne à ma porte pour me dire qu'il a un colis à mon nom. Le colis avait été jeté dans son jardin par dessus le portail.
Aucun respect pour le client, je ne comprends pas comment on peut avoir le droit d'exercer avec un tel manque de professionnalisme.
Fuyez ce site !",Positive,Books,0
8,Pas correct/ j'attends toujours mon remboursement !!!,1,2024-06-13 00:00:00+00:00,"J'ai commandé mon article et le jour même je l'ai annulé... J'attends mon remboursement depuis 10 jours et toujours pas remboursé. Vous n'êtes pas fiables, ni corrects comme entreprise . Une fois débités vous vous en foutez de la situation de vos clients!!!!",Neutral,Uncategorized,0
9,Prime retour non-remboursé,1,2024-05-28 00:00:00+00:00,"J'ai acheté des haltères avec un compte Amazon Prime. J'ai cru acheter des paires, mais à la réception, il n'y avait qu'une seule de chaque pois. Alors, j'ai voulu les retourner. Au bureau de poste j'ai été informé que le retour était à ma charge, ce qu'allait être plus chère que des articles (15kg).

Ce problème ne s'est jamais produit auparavant. Je n'étais pas informé au moment de l'achat que le retour était à ma charge. Pourquoi ?

Je me sens arnaquer.",Neutral,Uncategorized,0
10,"la market place, amazon sans lave les mains",1,2024-06-19 00:00:00+00:00,"reçu un paquet qui vient de chine alors que ce n'était pas indiqué sur le site.  Matériel défectueux, on vous propose de payer le retour à vos frais et que vous serez remboursé. comme les frais de retour sont  à votre charge et  que vous serez peut être remboursé, pour un produit irréparable, je vous déconseille d'utiliser les market places amazon.  surtout que le retour d'un produit irréparable  ne sert à rien, juste à vous nuire.",Neutral,Uncategorized,0
11,Commande de plusieurs produits expédié…,1,2024-06-20 00:00:00+00:00,"Commande de plusieurs produits expédié par amazon, livraison rapide payée pour un produit en question qui a une erreur de livraison et donc commande annulée. Remboursement de 1/3 de la livraison rapide vu que les autres produits livrés. Étrangement, je reçois un sms qui me dit qu'il y a un soucis avec ma commande et que je dois cliquer sur un lien frauduleux pour en savoir plus. Amazon c'est fini pour moi.",Neutral,Uncategorized,0
